method,model_name,task_name,train_subset_size,num_train_epochs,seed,accuracy,learning_rate,batch_size,max_length,lora_r,lora_alpha,warmup_ratio,bf16,elapsed_seconds,total_parameters,trainable_parameters,trainable_percentage
lora,bert-base-uncased,mrpc,80,5,23,0.6838235294117647,0.0002,16,128,8,16,0.1,True,0.6,109780228,296450,0.27
lora,bert-base-uncased,mrpc,320,5,11,0.6838235294117647,0.0002,16,128,8,16,0.1,True,2.4,109780228,296450,0.27
lora,bert-base-uncased,mrpc,320,5,17,0.6838235294117647,0.0002,16,128,8,16,0.1,True,2.6,109780228,296450,0.27
lora,bert-base-uncased,mrpc,320,5,23,0.6838235294117647,0.0002,16,128,8,16,0.1,True,2.4,109780228,296450,0.27
lora,bert-base-uncased,mrpc,1280,5,11,0.7818627450980392,0.0002,16,128,8,16,0.1,True,9.9,109780228,296450,0.27
lora,bert-base-uncased,mrpc,1280,5,17,0.7524509803921569,0.0002,16,128,8,16,0.1,True,9.1,109780228,296450,0.27
lora,bert-base-uncased,mrpc,1280,5,23,0.7769607843137255,0.0002,16,128,8,16,0.1,True,8.3,109780228,296450,0.27
lora,bert-base-uncased,mrpc,80,10,11,0.6838235294117647,0.0002,16,128,8,16,0.1,True,1.2,109780228,296450,0.27
lora,bert-base-uncased,mrpc,80,10,17,0.6838235294117647,0.0002,16,128,8,16,0.1,True,1.2,109780228,296450,0.27
lora,bert-base-uncased,mrpc,80,10,23,0.6838235294117647,0.0002,16,128,8,16,0.1,True,1.1,109780228,296450,0.27
lora,bert-base-uncased,mrpc,320,10,11,0.7181372549019608,0.0002,16,128,8,16,0.1,True,4.2,109780228,296450,0.27
lora,bert-base-uncased,mrpc,320,10,17,0.7450980392156863,0.0002,16,128,8,16,0.1,True,4.2,109780228,296450,0.27
lora,bert-base-uncased,mrpc,320,10,23,0.7156862745098039,0.0002,16,128,8,16,0.1,True,4.1,109780228,296450,0.27
lora,bert-base-uncased,mrpc,1280,10,11,0.7818627450980392,0.0002,16,128,8,16,0.1,True,17.2,109780228,296450,0.27
lora,bert-base-uncased,mrpc,1280,10,17,0.8088235294117647,0.0002,16,128,8,16,0.1,True,16.7,109780228,296450,0.27
lora,bert-base-uncased,mrpc,1280,10,23,0.8186274509803921,0.0002,16,128,8,16,0.1,True,16.4,109780228,296450,0.27
bitfit,bert-base-uncased,qnli,80,1,11,0.4171700530843859,0.0002,16,128,,,0.1,True,1.3,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,80,1,17,0.5304777594728172,0.0002,16,128,,,0.1,True,1.2,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,80,1,23,0.5293794618341571,0.0002,16,128,,,0.1,True,1.1,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,320,1,11,0.5284642138019403,0.0002,16,128,,,0.1,True,1.3,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,320,1,17,0.5365183964854475,0.0002,16,128,,,0.1,True,1.4,109483778,104450,0.0954
bitfit,bert-base-uncased,qnli,320,1,23,0.5405454878272011,0.0002,16,128,,,0.1,True,1.5,109483778,104450,0.0954
